LISTE DES CENTRES DE LA PETITE ENFANCE ET GARDERIES EN FONCTION,,,,,,,,,,,,,
Mise à jour le 1er novembre 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Coordonnées géographiques,ARTM
CENTRE DE LA PETITE ENFANCE LA P'TITE CABOCHE,16 - Montérégie,"1171, 28ième Avenue",Sainte-Anne-de-Sabrevois,J0J 2G0,(450) 347-5771,,manon.poirier@cpecaboche.com,CPE,63,5,CR,,0
ACADÉMIE PRÉSCOLAIRE LES PETITES ÉTOILES DE LA RIVE INC.,16 - Montérégie,"5900, route 132",Sainte-Catherine,J5C 1B6,(450) 638-9899,,lesetoilesdelarive@gmail.com,GARD,56,10,,,1
CPE LA BOÎTE À BIZOUS,16 - Montérégie,"5161, boulevard Saint-Laurent",Sainte-Catherine,J5C 1A6,(450) 638-2000,(450) 638-4847,louise.poulin@laboiteabizous.ca,CPE,80,10,CR,,1
CPE SOLEIL SOURIANT,16 - Montérégie,"1724, rue Centrale",Sainte-Catherine,J5C 1G5,(450) 635-2446,(450) 635-2049,,CPE,44,10,CR,,1
GARDERIE LES BOUTS DE PAPIER INC.,16 - Montérégie,"3600, boulevard Saint-Laurent",Sainte-Catherine,J5C 1V8,(450) 638-3108,,garderie.boutsdepapier@videotron.ca,GARD,76,0,CR,,1
GARDERIE PRIVÉE INTERNATIONALE STE-CATHERINE,16 - Montérégie,"520, rue Centrale",Sainte-Catherine,J5C 1A2,(450) 632-1225,(450) 632-1225,garderiepriveeint@gmail.com,GARD,34,0,CR,,1
LA PETITE LUNE STE-CATHERINE,16 - Montérégie,"4020, rue des Aigles",Sainte-Catherine,J5C 0B9,(514) 827-5066,,montrealmavilleca@yahoo.ca,GARD,80,20,,,1
LE PETIT SOLEIL STE-CATHERINE,16 - Montérégie,"4020, rue des Aigles",Sainte-Catherine,J5C 0B9,(514) 827-5066,(450) 635-9888,montrealmavilleca@yahoo.ca,GARD,80,10,CR,,1
C.P.E. DU JARDIN FLEURI,16 - Montérégie,"2321, rue Sainte-Clotilde",Sainte-Clotilde-de-Châteauguay,J0L 1W0,(450) 826-1111,,adjointe@cpejardinfleuri.ca,CPE,31,5,CR,,0
ACADÉMIE ÉDUCATIVE DE STE-JULIE,16 - Montérégie,"780, montée Sainte-Julie, bureau 100",Sainte-Julie,J3E 2C4,(450) 649-6969,(450) 649-6969,academieeducativedestejulie@videotron.ca,GARD,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE  LA GRANDE OURSE,16 - Montérégie,"2100, rue Darwin",Sainte-Julie,J3E 1W6,,,mepelletier@cpelagrandeourse.com,CPE,80,15,CR,,1
CENTRE DE LA PETITE ENFANCE JULIE-SOLEIL,16 - Montérégie,"280, rue du Grand-Coteau",Sainte-Julie,J3E 3H2,(450) 649-6071,(450) 649-9937,cpe_julie_soleil@videotron.ca,CPE,49,5,CR,,1
CENTRE DE LA PETITE ENFANCE JULIE-SOLEIL,16 - Montérégie,"375, rue Marie-Curie",Sainte-Julie,J3E 1A4,(450) 649-6071,(450) 649-9937,,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE JULIE-SOLEIL,16 - Montérégie,"1500, rue Principale",Sainte-Julie,J3E 1W6,(450) 649-2344,(450) 649-7792,,CPE,80,5,CR,,1
CENTRE DE LA PETITE ENFANCE LA GRANDE OURSE,16 - Montérégie,"2600, rue Principale",Sainte-Julie,J3E 2H6,(450) 649-2273,,mepelletier@cpelagrandeourse.com,CPE,80,15,CR,,1
CENTRE DE LA PETITE ENFANCE MIEL ET MELON,16 - Montérégie,"2109, rue Borduas",Sainte-Julie,J3E 2L5,,,cpemieletmelon@bellnet.ca,CPE,57,5,CR,,1
CENTRE DE LA PETITE ENFANCE MIEL ET MELON,16 - Montérégie,"640, boulevard N.-P.-Lapierre",Sainte-Julie,J3E 2G6,,,,CPE,62,10,CR,,1
CENTRE ÉDUCATIF LES MINI-MOUSSES,16 - Montérégie,"2001, rue Norman-Béthune",Sainte-Julie,J3E 2S7,(450) 986-1590,,minimousses@videotron.ca,GARD,75,15,,,1
GARDERIE LES PETITS PAS,16 - Montérégie,"1668, rue Saint-Louis",Sainte-Julie,J3E 1W9,,,gard-lespetitspas@videotron.ca,GARD,80,15,CR,,1
GARDERIE ÉDUCATIVE LES JARDINS DE L'AVENIR INC.,16 - Montérégie,"371, avenue Jules-Choquet",Sainte-Julie,J3E 1H2,(450) 649-3952,(450) 649-3952,lesjardinsdelavenir@hotmail.ca,GARD,60,0,CR,,1
L'ATELIER DE CLÉO,16 - Montérégie,"1190, boulevard N.-P.-Lapierre",Sainte-Julie,J3E 1T6,(450) 922-2492,,garderie.cleo@videotron.ca,GARD,66,0,CR,,1
ZUKARI,16 - Montérégie,"2133-A, boulevard Armand-Frappier",Sainte-Julie,J3E 2N7,(450) 649-4544,(450) 649-0093,methier@zukari.ca,GARD,35,0,,,1
À CHACUN SON HISTOIRE - SAINTE-JULIE INC.,16 - Montérégie,"320, rue de Murano, suite 201",Sainte-Julie,J3E 0C6,(514) 883-5276,,sophie-lachance@videotron.ca,GARD,80,10,,,1
CENTRE DE LA PETITE ENFANCE LE TEMPS D'UN RÊVE,16 - Montérégie,"425, rue des Fondateurs",Sainte-Madeleine,J0H 1S0,(450) 795-1155,(450) 795-3528,cpeletempsdunreve@cgocable.ca,CPE,91,15,CR,,0
LA MAISON DES COPAINS,16 - Montérégie,"6, rue des Copains",Sainte-Martine,J0S 1V0,"(450) 829-3801, poste 2",(450) 829-3747,direction@cpeabracadabra.com,CPE,75,15,CR,,0
LA PETITE MAGIE,16 - Montérégie,"301, rue Saint-Joseph",Sainte-Martine,J0S 1V0,(450) 427-7575,(450) 427-7373,direction@cpeabracadabra.com,CPE,62,10,CR,,0
MAISON DU PETIT SOLEIL INC.,16 - Montérégie,"10, rue Desrochers",Sainte-Martine,J0S 1V0,(450) 498-6088,(450) 427-2083,maisondupetitsoleil@gmail.com,GARD,32,5,CR,,0
CENTRE DE LA PETITE ENFANCE CADET-ROUSSELLE,16 - Montérégie,"21, boulevard Quévillon, bureau 195",Salaberry-de-Valleyfield,J6T 6L2,(450) 371-8491,(450) 371-4333,j.audette@cpecadetrousselle.com,CPE,60,0,CR,,0
CENTRE DE LA PETITE ENFANCE CADET-ROUSSELLE,16 - Montérégie,"5015, boulevard Hébert",Salaberry-de-Valleyfield,J6S 6C2,(450) 371-2220,,j.audette@cpecadetrousselle.com,CPE,49,5,CR,,0
CENTRE DE LA PETITE ENFANCE CITRONNELLE,16 - Montérégie,"250, rue Saint-Thomas",Salaberry-de-Valleyfield,J6T 6H6,(450) 371-2723,(450) 371-6142,chebert@cpecitronnelle.com,CPE,80,10,CR,,0
CENTRE DE LA PETITE ENFANCE CITRONNELLE,16 - Montérégie,"2, rue Champagne",Salaberry-de-Valleyfield,J6T 2Y4,,,chebert@cpecitronnelle.com,CPE,80,20,CR,,0
CENTRE DE LA PETITE ENFANCE CITRONNELLE,16 - Montérégie,"259, chemin Larocque",Salaberry-de-Valleyfield,J6T 4B8,,,,CPE,80,20,CR,,0
CENTRE DE LA PETITE ENFANCE LA CAMPINOISE,16 - Montérégie,"185, rue Hébert",Salaberry-de-Valleyfield,J6S 6T7,(450) 377-4852,(450) 377-8404,direction@cpecampinoise.com,CPE,80,10,CR,,0
GARDERIE AUX TRÉSORS DE L'ÎLE,16 - Montérégie,"868, avenue Grande-Île",Salaberry-de-Valleyfield,J6S 3N8,(450) 747-1381,,lissaquenneville@hotmail.com,GARD,76,15,,,0
GARDERIE LES PETITS BRICOLEURS INC.,16 - Montérégie,"1321, rue Léger",Salaberry-de-Valleyfield,J6S 6C7,(450) 371-5937,(450) 371-5901,lespetitsbricoleurs@live.ca,GARD,80,20,CR,,0
GARDERIE PORCULUS INC.,16 - Montérégie,"200, rue Alexandre",Salaberry-de-Valleyfield,J6S 5S5,(450) 371-6996,(450) 371-2584,porculus@live.ca,GARD,80,10,CR,,0
GARDERIE PRÉSCOLAIRE DES PETITS PIEDS INC.,16 - Montérégie,"425, boulevard des Érables, bureau 100",Salaberry-de-Valleyfield,J6T 6J5,(450) 371-5355,(450) 371-5855,GPdespetitspieds@hotmail.com,GARD,80,10,,,0
LES AMIS FRIMOUSSES INC.,16 - Montérégie,"551, boulevard Grande-Île",Salaberry-de-Valleyfield,J6S 3N5,(450) 373-0246,,lesamisfrimousses@bellnet.ca,GARD,60,0,CR,,0
ACADÉMIE LES PETITS AMIS,16 - Montérégie,"60, rue Élizabeth, suite 200",Sorel-Tracy,J3P 4G5,(450) 855-7880,,academiepetitsamis@gmail.com,GARD,80,15,,,0
CENTRE DE LA PETITE ENFANCE DANAHÉ,16 - Montérégie,"2255, boulevard Saint-Louis",Sorel-Tracy,J3R 2E4,(450) 746-2999,(450) 746-8606,danahe57@hotmail.com,CPE,29,0,CR,,0
CENTRE DE LA PETITE ENFANCE DES MARGUERITES (1976),16 - Montérégie,"40D, rue Albert",Sorel-Tracy,J3P 3V6,(450) 742-2574,(450) 742-0422,cpedesmarguerites@videotron.ca,CPE,80,0,CR,,0
CENTRE DE LA PETITE ENFANCE LA MARELLE,16 - Montérégie,"5400, rue des Soleils",Sorel-Tracy,J3R 5G2,,,,CPE,60,10,CR,,0
CENTRE DE LA PETITE ENFANCE LA MARELLE INC.,16 - Montérégie,"8300, rue Industrielle",Sorel-Tracy,J3R 5R3,(450) 746-0842,(450) 746-9246,marelle@videotron.ca,CPE,80,0,CR,,0
GARDERIE DES TOURNESOLS,16 - Montérégie,"4193, route Marie-Victorin",Sorel-Tracy,J3R 1P8,(450) 855-1760,,garderiedestournesols@hotmail.com,GARD,72,10,,,0
LA GOÉLETTE,16 - Montérégie,"334, boulevard Fiset",Sorel-Tracy,J3P 3R2,(450) 743-2618,(450) 743-3073,dg@lapetitemarine.ca,CPE,80,10,CR,,0
LES MINIS-MARINS,16 - Montérégie,"1061, rue des Merisiers",Sorel-Tracy,J3P 7P5,(450) 746-7997,(450) 746-1713,dg@lapetitemarine.ca,CPE,52,10,CR,,0
ÉCOLE PRÉ-MATERNELLE LES MOUSSAILLONS,16 - Montérégie,"130, rue St-Nicolas",Sorel-Tracy,J3P 6X9,(450) 742-7504,,lesmoussaillons@outlook.com,GARD,45,0,,,0
GARDERIE POUR TOUS LES AMIS,16 - Montérégie,"91, 5e Boulevard",Terrasse-Vaudreuil,J7V 5M1,(514) 901-9011,,pourtouslesamis@hotmail.com,GARD,72,10,,,1
AU ROYAUME DES CHÉRUBINS,16 - Montérégie,"255, rue Jean-Coutu, suite 100",Varennes,J3X 0E1,"(450) 646-9611, poste 1632",,drenaud2@metro.ca,CPE,68,0,CR,,1
AU ROYAUME DES CHÉRUBINS,16 - Montérégie,"255, rue Jean-Coutu, suite 101",Varennes,J3X 0E1,(450) 646-9760,,drenaud@jeancoutu.com,CPE,52,20,CR,,1
CENTRE DE LA PETITE ENFANCE MATIN SOLEIL INC.,16 - Montérégie,"45, rue de la Fabrique",Varennes,J3X 1R1,(450) 652-3821,(450) 652-7686,dg@matinsoleil.com,CPE,80,10,CR,,1
CPE LA MAISON BLEUE,16 - Montérégie,"22, rue Sainte-Anne",Varennes,J3X 1R5,"(450) 652-0514, poste 221",(450) 652-9309,lportelance@cpelmb.com,CPE,26,0,CR,,1
CPE LA MAISON BLEUE,16 - Montérégie,"80, rue Dalpé",Varennes,J3X 1C5,"(450) 652-0514, poste 222",(450) 652-9309,lportelance@cpelmb.com,CPE,80,10,CR,,1
CPE LA MAISON BLEUE,16 - Montérégie,"88, rue Dalpé",Varennes,J3X 1C5,"(450) 652-0514, poste 221",(450) 652-9309,lportelance@cpelmb.com,CPE,36,0,CR,,1
GARDERIE BÉBÉKIDZ TM DE VARENNES,16 - Montérégie,"1683, route Marie-Victorin",Varennes,J3X 1P7,(450) 985-5439,(450) 985-5440,jboudrias@kinderville.info,GARD,44,0,,,1
GARDERIE KINDERVILLE TM DE VARENNES,16 - Montérégie,"1681, route Marie-Victorin",Varennes,J3X 1P7,(450) 652-0456,(450) 652-0456,jboudrias@kinderville.info,GARD,36,0,CR,,1
GARDERIE ÉDUCATIVE ET PRÉ-MATERNELLE LES CHABICHOUX,16 - Montérégie,"321, rue du Trécarré",Varennes,J3X 1Z3,(450) 652-7747,,leleyiying@gmail.com,GARD,80,10,CR,,1
GARDERIE ÉDUCATIVE MIMI PINSON INC.,16 - Montérégie,"101, boulevard de la Marine",Varennes,J3X 1Y2,(450) 652-1923,(450) 652-1923,garderiemimipinson@yahoo.ca,GARD,71,10,CR,,1
LA PETITE ÉCOLE VISION VARENNES INC,16 - Montérégie,"50, rue de la Gabelle",Varennes,J3X 2J4,(450) 652-4848,,varennes@petiteecolevision.com,GARD,66,0,,,1
LES FLAMBOYANTS DE VARENNES,16 - Montérégie,"1471, boulevard Lionel-Boulet, suite 16",Varennes,J3X 1P7,(514) 971-3869,,info@les-flamboyants.com,GARD,80,15,,,1
ACADÉMIE DES PETITS APPRENTIS,16 - Montérégie,"2500, rue Henry-Ford",Vaudreuil-Dorion,J7V 9H5,(450) 424-5512,,info@academiedpa.ca,GARD,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LA RELÈVE V.-S.,16 - Montérégie,"2511, rue Paul-Gérin-Lajoie",Vaudreuil-Dorion,J7V 9H8,(450) 424-9304,(450) 424-0548,directionlareleve@videotron.ca,CPE,80,20,CR,,1
CENTRE DE LA PETITE ENFANCE LES PETITS MOUSSES,16 - Montérégie,"2520, rue des Muguets",Vaudreuil-Dorion,J7V 9N8,(514) 453-6687,,fdamour@cpelespetitsmousses.com,CPE,60,10,CR,,1
CENTRE RÉGIONAL DES ENFANTS DE VAUDREUIL-DORION,16 - Montérégie,"450, avenue Saint-Charles",Vaudreuil-Dorion,J7V 2N1,(450) 510-9996,(450) 455-0584,dianegauthier1@videotron.ca,GARD,56,0,,,1
CENTRE ÉDUCATIF DU VILLAGE DE VAUDREUIL INC.,16 - Montérégie,"680, rue Chicoine",Vaudreuil-Dorion,J7V 9J4,(450) 455-1852,(450) 455-7062,magdihanna@hotmail.com,GARD,80,10,CR,,1
CENTRE ÉDUCATIF DU VILLAGE DE VAUDREUIL-DORION 2,16 - Montérégie,"3275, boulevard de la Gare, bureau 101",Vaudreuil-Dorion,J7V 8W5,(450) 510-0010,,centreeducatifstlazare@hotmail.com,GARD,38,15,,,1
CENTRE ÉDUCATIF DU VILLAGE DE VAUDREUIL-DORION INC.,16 - Montérégie,"3275, boulevard de la Gare",Vaudreuil-Dorion,J7V 8W5,(450) 510-0010,(450) 510-3270,magdihanna@hotmail.com,GARD,52,0,CR,,1
CENTRE ÉDUCATIF À CIEL OUVERT - VAUDREUIL-DORION 2,16 - Montérégie,"105, rue Bill-Durnan",Vaudreuil-Dorion,J7V 0J6,(514) 978-0123,,jeremycola@groupecsg.com,GARD,80,15,,,1
CENTRE ÉDUCATIF À CIEL OUVERT-VAUDREUIL-DORION,16 - Montérégie,"101, Bill Durnan",Vaudreuil-Dorion,J7V 0J6,(514) 895-7810,,ghassan@hacoll.com,GARD,80,15,CR,,1
GARDERIE ENFANTASIA II INC.,16 - Montérégie,"100, chemin de l'Anse",Vaudreuil-Dorion,J7V 8P3,(450) 424-1161,(450) 424-1075,tonysalvo@live.ca,GARD,80,0,CR,,1
GARDERIE LAURIE BRICOLE-LÀ,16 - Montérégie,"3663, route Harwood",Vaudreuil-Dorion,J7V 0K1,(514) 830-4118,,cath.gagne@hotmail.com,GARD,80,15,,,1
GARDERIE MAISON ARC-EN-CIEL,16 - Montérégie,"980, boulevard Saint-Charles, bureau 128",Vaudreuil-Dorion,J7V 8P5,(450) 424-4141,,nada@maison-arc-en-ciel.com,GARD,76,20,,,1
GARDERIE MAISON ARC-EN-CIEL II,16 - Montérégie,"21, boulevard de la Cité-des-Jeunes, bureau 130",Vaudreuil-Dorion,J7V 0N3,(450) 424-0002,(450) 424-0007,mariam@maison-arc-en-ciel.com,GARD,75,15,CR,,1
GARDERIE PRÉCIEUX CARGO INC.,16 - Montérégie,"439, boulevard de la Cité-des-Jeunes",Vaudreuil-Dorion,J7V 0H3,(450) 218-6266,,garderiepreciouscargo@outlook.com,GARD,80,15,CR,,1
GARDERIE RAYONS DE SOLEIL DE DORION INC.,16 - Montérégie,"261, avenue Saint-Charles",Vaudreuil-Dorion,J7V 2L6,(450) 455-0337,(450) 455-1591,info@garderierayonsdesoleil.ca,GARD,54,0,CR,,1
GARDERIE ÉDUCATIVE L'UNIVERS EN MOI,16 - Montérégie,"1010, rue Émile-Bouchard",Vaudreuil-Dorion,J7V 0B6,,,,GARD,80,15,CR,,1
INSPIRATION MONTESSORI,16 - Montérégie,"110-1051, avenue Saint-Charles",Vaudreuil-Dorion,J7V 8P5,(450) 319-1114,(514) 221-2122,sasha@inspirationmontessori.com,GARD,24,0,,,1
L'ACADÉMIE DES MINIS COUP DE POUCE INC.,16 - Montérégie,"418, avenue Saint-Charles, bureau 100",Vaudreuil-Dorion,J7V 2N1,(450) 218-4568,,info@amcp.ca,GARD,70,10,,,1
L'ACADÉMIE DES ÉTOILES DU MONDE,16 - Montérégie,"463, avenue Saint-Charles, bureau 200",Vaudreuil-Dorion,J7V 2N4,(450) 218-4398,,academiedesetoilesdumonde@hotmail.com,GARD,80,15,,,1
LA GARDERIE LE MONDE DES RÊVES INC.,16 - Montérégie,"100A, chemin de l'Anse",Vaudreuil-Dorion,J7V 8P3,(450) 424-1161,(450) 424-1075,tonysalvo@live.ca,GARD,18,10,,,1
LE COIN DES PETITS AMIS,16 - Montérégie,"415, avenue Saint-Charles",Vaudreuil-Dorion,J7V 2M8,(450) 455-3803,,dianegauthier1@videotron.ca,GARD,59,5,CR,,1
UN MONDE JUSTE POUR NOUS 2,16 - Montérégie,"150D, boulevard Harwood",Vaudreuil-Dorion,J7V 1Y2,(450) 218-6480,,unmondejustepournous2@gmail.com,GARD,80,15,CR,,1
GARDERIE EILEEN MARIE INC.,16 - Montérégie,"1021, avenue Saint-Charles",Vaudreuil-sur-le-Lac,J7V 8P3,(450) 424-4622,(450) 424-6027,garderiegem@gmail.com,GARD,80,30,CR,,1
C.P.E. PETIT À PETIT,16 - Montérégie,"500, rue Duvernay",Verchères,J0L 2R0,(450) 583-6625,(450) 583-6581,cpe.petitapetit@videotron.ca,CPE,75,5,CR,,1
CENTRE DE LA PETITE ENFANCE LA MARELLE INC. (LA MARMAILLE),16 - Montérégie,"146, rue Guillemette",Yamaska,J0G 1W0,,,,CPE,38,5,CR,,0
,,,,,,,,,,,,,
Légende,,,,,,,,,,,,,
CPE : Centre de la petite enfance                                          GARD : Garderie                                         Poupon : Place pour poupon (de 0 à moins de 18 mois)                                            CR : Place à contribution réduite,,,,,,,,,,,,,
MF : Service de garde en milieu familial coordonné par un bureau coordonnateur (Les coordonnées sont celles du bureau coordonnateur)           RSG : Responsable d'un service de garde en milieu familial reconnue par un bureau coordonnateur,,,,,,,,,,,,,
,,,,,,,,,,,,,
